date, value
1/1/1973,107.616
1/2/1973,103.046
1/3/1973,100
1/4/1973,100.376
1/5/1973,99.263
1/6/1973,97.483
1/7/1973,94.995
1/8/1973,96.633
1/9/1973,95.849
1/10/1973,96.122
1/11/1973,97.984
1/12/1973,98.292
1/1/1974,99.687
1/2/1974,97.239
1/3/1974,95.777
1/4/1974,94.154
1/5/1974,93.659
1/6/1974,94.423
1/7/1974,94.562
1/8/1974,95.938
1/9/1974,96.492
1/10/1974,95.846
1/11/1974,95.147
1/12/1974,94.697
1/1/1975,93.975
1/2/1975,92.848
1/3/1975,92.289
1/4/1975,92.8
1/5/1975,92.394
1/6/1975,92.665
1/7/1975,95.062
1/8/1975,96.026
1/9/1975,96.557
1/10/1975,96.302
1/11/1975,96.155
1/12/1975,96.352
1/1/1976,95.42
1/2/1976,94.613
1/3/1976,94.505
1/4/1976,94.476
1/5/1976,94.547
1/6/1976,94.559
1/7/1976,94.105
1/8/1976,93.871
1/9/1976,94.378
1/10/1976,94.419
1/11/1976,94.79
1/12/1976,94.446
1/1/1977,93.719
1/2/1977,94.268
1/3/1977,94.278
1/4/1977,94.02
1/5/1977,93.803
1/6/1977,93.66
1/7/1977,92.742
1/8/1977,92.868
1/9/1977,92.708
1/10/1977,91.722
1/11/1977,91.109
1/12/1977,89.705
1/1/1978,89.069
1/2/1978,88.979
1/3/1978,88.556
1/4/1978,88.638
1/5/1978,89.624
1/6/1978,88.79
1/7/1978,86.908
1/8/1978,85.164
1/9/1978,85.619
1/10/1978,84.133
1/11/1978,85.925
1/12/1978,86.23
1/1/1979,86.239
1/2/1979,87.082
1/3/1979,87.28
1/4/1979,88.228
1/5/1979,89.27
1/6/1979,89.457
1/7/1979,87.811
1/8/1979,88.261
1/9/1979,88.291
1/10/1979,89.181
1/11/1979,90.29
1/12/1979,89.588
1/1/1980,88.874
1/2/1980,89.674
1/3/1980,92.483
1/4/1980,93.206
1/5/1980,90.264
1/6/1980,88.923
1/7/1980,88.042
1/8/1980,88.758
1/9/1980,88.136
1/10/1980,88.309
1/11/1980,89.753
1/12/1980,90.621
1/1/1981,89.747
1/2/1981,92.14
1/3/1981,92.302
1/4/1981,93.886
1/5/1981,96.383
1/6/1981,98.347
1/7/1981,100.453
1/8/1981,101.942
1/9/1981,99.947
1/10/1981,99.181
1/11/1981,97.46
1/12/1981,97.197
1/1/1982,98.191
1/2/1982,100.965
1/3/1982,103.216
1/4/1982,103.7
1/5/1982,102.522
1/6/1982,106.916
1/7/1982,108.478
1/8/1982,110.309
1/9/1982,110.839
1/10/1982,110.974
